T,Active SRLGs,Cost H1,Cost H2,Cost ILP,Runtime H1,Runtime H2,Runtime ILP
0.0100,0,0.0000,0.0000,,0.0381,0.0365,
0.0090,0,0.0000,0.0000,,0.0378,0.0361,
0.0080,0,0.0000,0.0000,,0.0340,0.0344,
0.0070,0,0.0000,0.0000,,0.0353,0.0363,
0.0060,0,0.0000,0.0000,,0.0322,0.0317,
0.0050,0,0.0000,0.0000,,0.0313,0.0315,
0.0040,2,213.6339,213.6339,,0.0419,0.0607,
0.0030,5,523.5634,580.7525,,0.0532,0.1540,
0.0020,10,782.4157,782.4157,,0.0769,0.3133,
0.0010,18,1372.1697,1253.7549,,0.1380,0.8919,
0.0009,20,1615.3303,1403.2388,,0.1632,1.3212,
0.0008,21,1689.3667,1477.2752,,0.1900,1.4873,
0.0007,21,1748.6898,1665.4628,,0.2223,2.2049,
0.0006,22,1960.3550,1678.1144,,0.2413,2.1324,
0.0005,22,2266.4766,1747.3012,,0.2385,2.2249,
