Links,Link Lengths,H0,Delta H (Heuristic 1),Delta H (Heuristic 2),Delta H (ILP),H (Heuristic 1),H (Heuristic 2),H (ILP)
0,243.7782,6,0,0,0,6,6,6
1,283.1019,6,2,0,0,8,6,6
2,66.2152,6,0,3,1,6,9,7
3,217.8517,6,1,2,2,7,8,8
4,277.8401,6,0,2,2,6,8,8
5,367.0379,6,3,0,0,9,6,6
6,559.1845,6,0,0,0,6,6,6
7,241.0672,6,2,0,0,8,6,6
8,356.0292,6,2,0,0,8,6,6
9,89.2682,6,3,3,3,9,9,9
10,99.7190,6,0,3,3,6,9,9
11,229.3544,6,2,0,0,8,6,6
12,352.8712,6,0,0,0,6,6,6
13,80.3366,6,2,3,2,8,9,8
14,153.7105,6,1,0,0,7,6,6
15,236.6408,6,1,0,1,7,6,7
16,79.8643,6,1,3,3,7,9,9
17,143.7247,6,1,1,1,7,7,7
18,214.6538,6,1,0,0,7,6,6
19,145.2580,6,1,1,0,7,7,6
20,151.5774,6,2,2,2,8,8,8
21,189.0851,6,0,0,0,6,6,6
22,517.5613,6,0,0,0,6,6,6
23,138.1865,6,1,2,2,7,8,8
24,85.3047,6,1,2,2,7,8,8
25,370.7357,6,0,0,0,6,6,6
26,252.3580,6,1,0,0,7,6,6
27,139.3490,6,1,0,0,7,6,6
28,51.9093,6,0,2,2,6,8,8
29,107.9290,6,2,3,3,8,9,9
30,262.3945,6,3,3,3,9,9,9
31,441.0472,6,1,0,0,7,6,6
32,218.4482,6,0,0,0,6,6,6
33,339.5495,6,0,0,0,6,6,6
34,234.2330,6,0,0,0,6,6,6
