TFA,Cut SRLGs,Cost H1,Cost H2,Cost ILP,Runtime H1,Runtime H2,Runtime ILP
0.0100,47,0.0000,0.0000,0.0000,0.0340,0.0276,0.0500
0.0090,47,0.0000,0.0000,0.0000,0.0248,0.0248,0.0500
0.0080,47,0.0000,0.0000,0.0000,0.0248,0.0250,0.0500
0.0070,47,0.0000,0.0000,0.0000,0.0249,0.0250,0.0500
0.0060,47,0.0000,0.0000,0.0000,0.0266,0.0293,0.0500
0.0050,47,0.0000,0.0000,0.0000,0.0283,0.0278,0.0500
0.0040,47,544.9775,379.1998,379.1998,0.0852,1.1769,142.6487
0.0030,47,1089.9549,758.3996,758.3996,0.1462,2.2558,144.0458
0.0020,47,2181.9297,1682.5769,1618.5836,0.2104,4.7446,168.2116
0.0010,47,4049.0375,3603.3871,3318.6270,0.5103,11.1370,237.2523
0.0009,47,4049.0375,3550.8746,3321.5489,0.4737,8.6454,201.3752
0.0008,47,5141.0122,4060.6779,3866.5264,0.5168,10.6193,282.4008
0.0007,47,5141.0122,4097.8719,4097.8719,0.4394,7.7107,206.5169
0.0006,47,5520.2120,4607.6751,4607.6751,0.4978,9.1227,200.2834
0.0005,47,6628.9202,5234.5692,5154.6724,0.5508,10.3803,253.0530
