Links,Link Lengths,H0,Delta H (Heuristic 1),Delta H (Heuristic 2),Delta H (ILP),H (Heuristic 1),H (Heuristic 2),H (ILP)
0,530.9868,6,0,0,,6,6,
1,343.4757,6,0,0,,6,6,
2,493.8822,7,0,0,,7,7,
3,955.6298,7,0,0,,7,7,
4,1056.9316,6,0,0,,6,6,
5,678.7598,6,0,0,,6,6,
6,364.9653,7,0,0,,7,7,
7,343.1490,7,0,0,,7,7,
8,231.3455,7,0,0,,7,7,
9,298.6322,6,0,0,,6,6,
10,514.9742,7,0,0,,7,7,
11,529.9967,6,0,0,,6,6,
12,233.2476,7,0,0,,7,7,
13,665.3851,7,0,0,,7,7,
14,149.4289,7,0,0,,7,7,
15,440.5087,7,0,0,,7,7,
16,393.4653,7,0,0,,7,7,
17,1001.4826,6,0,0,,6,6,
18,367.9512,7,0,0,,7,7,
19,415.4692,6,0,0,,6,6,
20,381.8780,7,0,0,,7,7,
21,564.9719,6,0,0,,6,6,
22,405.9377,6,0,0,,6,6,
23,293.0082,7,0,0,,7,7,
24,560.2507,7,0,0,,7,7,
25,873.4345,7,0,0,,7,7,
26,1050.3401,6,0,0,,6,6,
27,614.4962,7,0,0,,7,7,
28,648.1851,6,0,0,,6,6,
29,361.5582,7,0,0,,7,7,
30,381.7139,7,0,0,,7,7,
31,349.7213,7,0,0,,7,7,
32,1075.3731,6,0,0,,6,6,
33,906.3959,7,0,0,,7,7,
34,938.9514,6,0,0,,6,6,
35,1146.9797,6,0,0,,6,6,
36,591.7199,7,0,0,,7,7,
37,964.4673,7,0,1,,7,8,
38,1108.7082,7,0,1,,7,8,
39,379.1998,7,0,2,,7,9,
40,544.9775,6,3,0,,9,6,
41,1091.9747,6,2,0,,8,6,
